"1990","Regina","Regino"
"1986","Miriam","Miriam"
"1973","Tatiana","Tatiano"
"1971","Iryna","Iryno"
"1942","Bohdana","Bohdano"
"1914","Aloisie","Aloisie"
"1893","Vilma","Vilmo"
"1885","Mariana","Mariano"
"1867","Bedřiška","Bedřiško"
"1856","Nicole","Nicole"
"1843","Radomíra","Radomíro"
"1824","Zděnka","Zděnko"
"1819","Beáta","Beáto"
"1811","Zlatuše","Zlatuše"
"1778","Agáta","Agáto"
"1768","Emma","Emmo"
"1753","Yveta","Yveto"
"1735","Natalie","Natalie"
"1730","Alžbeta","Alžbeto"
"1696","Radana","Radano"
"1692","Táňa","Táňo"
"1675","Zora","Zoro"
"1648","Lucia","Lucio"
"1638","Nicol","Nicol"
"1627","Olha","Olho"
"1598","Vanessa","Vanesso"
"1587","Zita","Zito"
"1586","Anita","Anito"
"1508","Brigita","Brigito"
"1501","Rozálie","Rozálie"
"1444","Vendulka","Vendulko"
"1417","Nadiya","Nadiyo"
"1411","Natalia","Natalio"
"1402","Radoslava","Radoslavo"
"1401","Věnceslava","Věnceslavo"
"1400","Valentina","Valentino"
"1362","Hildegarda","Hildegardo"
"1356","Irina","Irino"
"1336","Běla","Bělo"
"1334","Jaruška","Jaruško"
"1323","Dobromila","Dobromilo"
"1317","Helga","Helgo"
"1311","Dorota","Doroto"
"1310","Janka","Janko"
"1302","Beata","Beato"
"1298","Halyna","Halyno"
"1298","Venuše","Venuše"
"1295","Irma","Irmo"
"1293","Lea","Leo"
"1264","Drahuše","Drahuše"
"1256","Silvia","Silvio"
"1249","Krista","Kristo"
"1238","Nicola","Nicolo"
"1235","Halina","Halino"
"1226","Lyubov","Lyubov"
"1199","Klaudie","Klaudie"
"1198","Evženie","Evženie"
"1190","Otilie","Otilie"
"1170","Lyudmyla","Lyudmylo"
"1164","Valentýna","Valentýno"
"1151","Oľga","Oľgo"
"1120","Vítězslava","Vítězslavo"
"1108","Judita","Judito"
"1068","Valérie","Valérie"
"1066","Kristína","Kristíno"
"1053","Šarlota","Šarloto"
"1032","Galina","Galino"
"1020","Marianna","Marianno"
"1019","Dobroslava","Dobroslavo"
"985","Viola","Violo"
"976","Svetlana","Svetlano"
"956","Ľudmila","Ľudmilo"
"948","Mirka","Mirko"
"945","Darja","Darjo"
"941","Galyna","Galyno"
"941","Hilda","Hildo"
"935","Sarah","Sarah"
"919","Karina","Karino"
"915","Valentyna","Valentyno"
"909","Maryna","Maryno"
"907","Ida","Ido"
"906","Berta","Berto"
"900","Elen","Elen"
"899","Júlia","Júlio"
"898","Anastázie","Anastázie"
"889","Zdislava","Zdislavo"
"876","Cecilie","Cecilie"
"869","Hermína","Hermíno"
"866","Eleonora","Eleonoro"
"863","Angelika","Angeliko"
"859","Věroslava","Věroslavo"
"850","Emilia","Emilio"
"840","Emílie","Emílie"
"838","Marina","Marino"
"828","Juliana","Juliano"
"803","Liliana","Liliano"
"794","Alla","Allo"
"789","Gizela","Gizelo"
"785","Terézia","Terézio"
"782","Anastazie","Anastazie"
"773","Jiřinka","Jiřinko"
"764","Viktoriya","Viktoriyo"
"763","Taťjana","Taťjano"
"762","Albína","Albíno"
"753","Ingeborg","Ingeborg"
"738","Taťana","Taťano"
"730","Krystyna","Krystyno"
"723","Danuta","Danuto"
"719","Yvetta","Yvetto"
"713","Ľubica","Ľubico"
"712","Ganna","Ganno"
"707","Izabela","Izabelo"
"691","Nella","Nello"
"677","Jelena","Jeleno"
"670","Štefánia","Štefánio"
"668","Jozefa","Jozefo"
"663","Vilemína","Vilemíno"
"660","Vojtěška","Vojtěško"
"658","Bohumíra","Bohumíro"
"657","Angela","Angelo"
"657","Rita","Rito"
"654","Inna","Inno"
"653","Slávka","Slávko"
"652","Verona","Verono"
"651","Rozália","Rozálio"
"650","Terezia","Terezio"
"641","Julia","Julio"
"635","Erna","Erno"
"628","Yuliya","Yuliyo"
"620","Liběna","Liběno"
"614","Ella","Ello"
"611","Vira","Viro"
"608","Janina","Janino"
"607","Jessica","Jessico"
"601","Světla","Světlo"
"596","Lubomíra","Lubomíro"
"595","Milana","Milano"
"591","Larysa","Laryso"
"590","Ružena","Ruženo"
"587","Agnesa","Agneso"
"585","Valeria","Valerio"
"583","Ellen","Ellen"
"582","Daria","Dario"
"582","Justýna","Justýno"
"579","Vladěna","Vladěno"
"568","Matylda","Matyldo"
"568","Svatoslava","Svatoslavo"
"564","Katrin","Katrin"
"563","Herta","Herto"
"559","Margareta","Margareto"
"552","Oleksandra","Oleksandro"
"549","Melanie","Melanie"
"548","Margit","Margit"
"547","Josefína","Josefíno"
"547","Kateryna","Kateryno"
"545","Alina","Alino"
"540","Lýdia","Lýdio"
"538","Nataliia","Nataliio"
"535","Marketa","Marketo"
"532","Justina","Justino"
"530","Zina","Zino"
"528","Larisa","Lariso"
"521","Adela","Adelo"
"512","Huong","Huong"
"505","Slavomíra","Slavomíro"
"504","Sonja","Sonjo"
"503","Tetiana","Tetiano"
"502","Ekaterina","Ekaterino"
"500","Vasylyna","Vasylyno"
"498","Nelly","Nelly"
"497","Daša","Dašo"
"496","Radomila","Radomilo"
"489","Myroslava","Myroslavo"
"486","Valéria","Valério"
"485","Katarina","Katarino"
"479","Světluše","Světluše"
"474","Sofia","Sofio"
"471","Nora","Noro"
"468","Anastasia","Anastasio"
"465","Vladana","Vladano"
"464","Amalie","Amalie"
"464","Bohunka","Bohunko"
"463","Berenika","Bereniko"
"463","Eugenie","Eugenie"
"459","Teresa","Tereso"
"456","Arnoštka","Arnoštko"
"456","Etela","Etelo"
"454","Lýdie","Lýdie"
"452","Leontýna","Leontýno"
"452","Liana","Liano"
"451","Anh","Anh"
"451","Natália","Natálio"
"445","Stella","Stello"
"444","Zlatica","Zlatico"
"440","Mariia","Mariio"
"440","Victoria","Victorio"
"437","Maryana","Maryano"
"434","Liudmila","Liudmilo"
"430","Johanka","Johanko"
"424","Zoja","Zojo"
"422","Ljuba","Ljubo"
"420","Kvetoslava","Kvetoslavo"
"419","Tina","Tino"
"415","Stela","Stelo"
"412","Ruth","Ruth"
"410","Thuy","Thuy"
"408","Jozefína","Jozefíno"
"405","Ivanna","Ivanno"
"404","Vlastislava","Vlastislavo"
"401","Aranka","Aranko"
"400","Uršula","Uršulo"
"398","Zlatuška","Zlatuško"
"391","Lesya","Lesyo"
"390","Luďka","Luďko"
"390","Vratislava","Vratislavo"
"384","Danka","Danko"
"383","Lidia","Lidio"
"383","Xenie","Xenie"
"381","Oxana","Oxano"
"380","Marija","Marijo"
"376","Elizabeth","Elizabeth"
"371","Ela","Elo"
"370","Viktoria","Viktorio"
"367","Natalya","Natalyo"
"366","Noemi","Noemi"
"363","Ana","Ano"
"357","Lidiya","Lidiyo"
"353","Jitřenka","Jitřenko"
"350","Doris","Doris"
"349","Amélie","Amélie"
"349","Antonia","Antonio"
"343","Phuong","Phuong"
"343","Zofia","Zofio"
"342","Ilonka","Ilonko"
"342","Pavlina","Pavlino"
"341","Annemarie","Annemarie"
"340","Aurelie","Aurelie"
"337","Dora","Doro"
"335","Apolena","Apoleno"
"333","Natalija","Natalijo"
"329","Ha","Hao"
"325","Anastasiya","Anastasiyo"
"325","Filomena","Filomeno"
"325","Liubov","Liubov"
"324","Isabela","Isabelo"
"323","Lena","Leno"
"323","Trang","Trang"
"322","Gerda","Gerdo"
"322","Inka","Inko"
"322","Ruslana","Ruslano"
"322","Sabrina","Sabrino"
"320","Jennifer","Jennifer"
"320","Liduška","Liduško"
"320","Rosalie","Rosalie"
"317","Liliya","Liliyo"
"316","Wanda","Wando"
"314","Evelína","Evelíno"
"314","Katka","Katko"
"311","Yulia","Yulio"
"310","Edeltraud","Edeltraud"
"310","Tatjana","Tatjano"
"308","Claudia","Claudio"
"308","Jasmína","Jasmíno"
"308","Matilda","Matildo"
"308","Sylvia","Sylvio"
"305","Yana","Yano"
"304","Gisela","Giselo"
"303","Žofia","Žofio"
"300","Květuška","Květuško"
"298","Petruše","Petruše"
"297","Inge","Inge"
"296","Charlotte","Charlotte"
"295","Hanička","Haničko"
"295","Jadwiga","Jadwigo"
"293","Agata","Agato"
"293","Elvíra","Elvíro"
"291","Olesya","Olesyo"
"288","Gita","Gito"
